Year,ID,Station,Capacity,On-Peak Energy,Off-Peak Energy,CF,Energy,Mbtu,Cold,Warm,Stup Cst,Fuel Cst,VO&M Cst,FO&M Cst,Oper Cst,Tot Cst,Ave Hrt
2017,3,Waiau 3,47.0348,6.243769717,1.522796311,1.884975158,7.766566028,95.06969833,,36,0,2.020715264,0.002363725,3.583958161,0,2.023078989,12240.8923
2017,4,Waiau 4,46.4761,4.838592263,1.15,1.470926463,5.988592263,72.16709416,,31,0,1.65154089,0.001822606,3.583600109,0,1.653363496,12050.76101
2017,5,Waiau 5,54.535,22.6625339,5,5.790452928,27.6625339,330.8749875,,140,0,7.061345029,0.008418989,4.26470735,0,7.069764018,11961.12362
2017,6,Waiau 6,53.7254,13.95,2.325,3.458097496,16.275,196.3929526,,114,0,5.083361724,0.004953236,4.264707209,0,5.08831496,12067.1553
2017,7,Waiau 7,58.3424,19.90225758,4.850213905,4.843175116,24.75247149,270.24761,,4,0,2.677299513,0.007533323,4.773443898,0,2.684832836,10918.0051
2017,8,Waiau 8,61.15,22.66915784,5.571972287,5.272074084,28.24113013,298.7835919,,3,0,2.885074441,0.008595083,4.840104441,0,2.893669524,10579.73214
2017,9,Waiau 9,52.9,19.84184758,0.687320675,4.430080071,20.52916825,316.9532906,,308,0,4.221089589,0,1.222279363,0,4.286977157,15439.16864
2017,10,Waiau 10,49.9,30.99774959,1.778848784,7.498238115,32.77659838,469.8099316,,335,0,6.019581267,0,1.222279542,0,6.120333949,14333.7001
2017,11,Kahe 1,57.1994,36.7940269,9.598477527,9.258747459,46.39250443,475.9740181,,1,0,4.402231246,0.014119386,2.944241304,0,4.416350632,10259.71812
2017,12,Kahe 2,57.1834,76.59762653,22.0053313,19.68411359,98.60295782,993.9883167,,5,0,9.362005395,0.030009443,2.943990709,0,9.392014838,10080.71501
2017,13,Kahe 3,61.202,27.70715402,11.54438397,7.321279006,39.25153799,397.3677128,,4,0,3.858614664,0.01194606,3.003992454,0,3.870560723,10123.62147
2017,14,Kahe 4,60.2605,124.6129771,45.76582957,32.27592778,170.3788066,1700.448247,,3,0,15.69408118,0.051854156,2.990442378,0,15.74593534,9980.397686
2017,15,Kahe 5,134.608,370.5656359,204.7421694,48.78937879,575.3078054,5701.951003,,3,0,52.76729584,0.17509279,6.459030272,0,52.94238863,9911.130963
2017,16,Kahe 6,133.784,393.9000115,237.6843544,53.89184949,631.584366,6492.080147,,3,0,60.71977604,0.192220352,6.459029979,0,60.91199639,10279.03871
2017,17,KALA1,90,442.0227933,315.9,96.13429647,757.9227933,6493.702615,,2,0,59.26899782,0,0,0,59.26899782,8567.762669
2017,18,KALA2,118,565.197681,405.9075822,93.94641119,971.1052632,7810.054043,,6,0,71.28353476,0,0,0,71.28353476,8042.438178
2017,19,AES,189,965.7529199,689.85,99.99776038,1655.60292,28649.58861,,0,0,54.47690625,0,0,0,54.47690625,17304.62556
2017,22,CIP1,112.15,12.25753689,4.095843183,1.664577985,16.35338008,249.8497543,,33,0,8.52516722,0.546564567,1.925045778,0,9.071731786,15278.17204
2017,30,HPOFF,35,0,127.75,41.66666667,127.75,4602.65,,365,0,0,0,0,0,0,36028.57143
2017,31,HPON,68.5,297.6099989,0,49.59670681,297.6099989,18045.53445,,365,0,0,0,0,0,0,60634.83927
2017,32,HPON_M,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,34,DR_Proxy,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,35,CBRE PV,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,36,CBRE WIND,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,38,West Loch,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,39,OffShrWind1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
